,name,iata,oaci,fleet_size,img_ext,timestamp
61,Air Alsie,MMD,6I,7,https://images.flightradar24.com/assets/airlines/logotypes/1091.png,2024-02-09 12:15:35.340320
62,Air Anka,TAH,TZ,2,https://images.flightradar24.com/assets/airlines/logotypes/2109.png,2024-02-09 12:15:35.340320
63,Air Arabia,ABY,G9,67,https://images.flightradar24.com/assets/airlines/logotypes/417.png,2024-02-09 12:15:35.340320
64,Air Astana,KZR,KC,33,https://images.flightradar24.com/assets/airlines/logotypes/239.png,2024-02-09 12:15:35.340320
65,Air Astra,AWA,2A,3,https://images.flightradar24.com/assets/airlines/logotypes/2194.png,2024-02-09 12:15:35.340320
66,Air Atlanta Icelandic,ABD,CC,1,https://www.flightradar24.com/static/images/data/operators/ABD_logo0.png,2024-02-09 12:15:35.340320
67,Air Austral,REU,UU,8,https://www.flightradar24.com/static/images/data/operators/REU_logo0.png,2024-02-09 12:15:35.340320
68,Air Baltic,BTI,BT,46,https://images.flightradar24.com/assets/airlines/logotypes/125.png,2024-02-09 12:15:35.340320
69,Air Belgium,ABB,KF,9,https://images.flightradar24.com/assets/airlines/logotypes/600.png,2024-02-09 12:15:35.340320
70,Air Bohemia,BOH,,4,placeholder,2024-02-09 12:15:35.340320
71,Air Borealis,LBR,,9,https://images.flightradar24.com/assets/airlines/logotypes/2005.png,2024-02-09 12:15:35.340320
72,Air Botswana,BOT,BP,3,https://www.flightradar24.com/static/images/data/operators/BOT_logo0.png,2024-02-09 12:15:35.340320
73,Air Burkina,VBW,2J,2,https://images.flightradar24.com/assets/airlines/logotypes/401.png,2024-02-09 12:15:35.340320
74,Air Busan,ABL,BX,22,https://www.flightradar24.com/static/images/data/operators/ABL_logo0.png,2024-02-09 12:15:35.340320
75,Air Cairo,MSC,SM,32,https://images.flightradar24.com/assets/airlines/logotypes/660.png,2024-02-09 12:15:35.340320
76,Air Caledonie,TPC,TY,4,https://www.flightradar24.com/static/images/data/operators/TPC_logo0.png,2024-02-09 12:15:35.340320
77,Air Canada,ACA,AC,312,https://images.flightradar24.com/assets/airlines/logotypes/37.png,2024-02-09 12:15:35.340320
78,Air Canada Rouge,ROU,RV,42,https://www.flightradar24.com/static/images/data/operators/ROU_logo0.png,2024-02-09 12:15:35.340320
79,Air Caraibes,FWI,TX,11,https://images.flightradar24.com/assets/airlines/logotypes/331.png,2024-02-09 12:15:35.340320
80,Air Care Alliance,CMF,,11,placeholder,2024-02-09 12:15:35.340320
81,Air Cargo Carriers,SNC,2Q,34,https://www.flightradar24.com/static/images/data/operators/SNC_logo0.png,2024-02-09 12:15:35.340320
82,Air Central,LHA,GI,14,placeholder,2024-02-09 12:15:35.340320
83,Air Century,CEY,Y2,7,https://images.flightradar24.com/assets/airlines/logotypes/630.png,2024-02-09 12:15:35.340320
84,Air Changan,CGN,9H,13,https://images.flightradar24.com/assets/airlines/logotypes/230.png,2024-02-09 12:15:35.340320
85,Air Charter Scotland,EDC,,11,https://images.flightradar24.com/assets/airlines/logotypes/1702.png,2024-02-09 12:15:35.340320
86,Air Charters Europe,AGR,,3,placeholder,2024-02-09 12:15:35.340320
87,Air Chathams,CVA,3C,17,https://images.flightradar24.com/assets/airlines/logotypes/46.png,2024-02-09 12:15:35.340320
88,Air China,CCA,CA,492,https://images.flightradar24.com/assets/airlines/logotypes/129.png,2024-02-09 12:15:35.340320
89,Air China Cargo,CAO,,17,https://images.flightradar24.com/assets/airlines/logotypes/748.png,2024-02-09 12:15:35.340320
90,Air China Inner Mongolia,CNM,,8,https://images.flightradar24.com/assets/airlines/logotypes/1952.png,2024-02-09 12:15:35.340320
91,Air Class,QCL,,3,placeholder,2024-02-09 12:15:35.340320
92,Air Corporate,CPV,,8,placeholder,2024-02-09 12:15:35.340320
93,Air Corsica,CCM,XK,13,https://www.flightradar24.com/static/images/data/operators/CCM_logo0.png,2024-02-09 12:15:35.340320
94,Air Cote d'Ivoire,VRE,HF,9,https://www.flightradar24.com/static/images/data/operators/VRE_logo0.png,2024-02-09 12:15:35.340320
95,Air Creebec,CRQ,YN,18,https://images.flightradar24.com/assets/airlines/logotypes/389.png,2024-02-09 12:15:35.340320
96,Air Dilijans,NGT,RM,1,https://images.flightradar24.com/assets/airlines/logotypes/1480.png,2024-02-09 12:15:35.340320
97,Air Do,ADO,HD,15,https://images.flightradar24.com/assets/airlines/logotypes/643.png,2024-02-09 12:15:35.340320
98,Air Dolomiti,DLA,EN,22,https://images.flightradar24.com/assets/airlines/logotypes/171.png,2024-02-09 12:15:35.340320
99,Air Eagle,EPE,,1,placeholder,2024-02-09 12:15:35.340320
100,Air Europa,AEA,UX,58,https://images.flightradar24.com/assets/airlines/logotypes/70.png,2024-02-09 12:15:35.340320
101,Air Falcon,FPK,FS,1,placeholder,2024-02-09 12:15:35.340320
102,Air Flamenco,WAF,F4,13,https://images.flightradar24.com/assets/airlines/logotypes/1198.png,2024-02-09 12:15:35.340320
103,Air France,AFR,AF,252,https://images.flightradar24.com/assets/airlines/logotypes/15.png,2024-02-09 12:15:35.340320
104,Air Greenland,GRL,GL,17,https://images.flightradar24.com/assets/airlines/logotypes/135.png,2024-02-09 12:15:35.340320
105,Air Horizont,HAT,HT,5,https://images.flightradar24.com/assets/airlines/logotypes/1474.png,2024-02-09 12:15:35.340320
106,Air Incheon,AIH,KJ,4,https://images.flightradar24.com/assets/airlines/logotypes/1331.png,2024-02-09 12:15:35.340320
107,Air India,AIC,AI,131,https://images.flightradar24.com/assets/airlines/logotypes/112.png,2024-02-09 12:15:35.340320
108,Air India Express,AXB,IX,42,https://images.flightradar24.com/assets/airlines/logotypes/449.png,2024-02-09 12:15:35.340320
109,Air Inuit,AIE,3H,34,https://images.flightradar24.com/assets/airlines/logotypes/933.png,2024-02-09 12:15:35.340320
110,Air Japan,AJX,NQ,1,https://www.flightradar24.com/static/images/data/operators/AJX_logo0.png,2024-02-09 12:15:35.340320
111,Air Key West,KWX,,2,placeholder,2024-02-09 12:15:35.340320
112,Air Kiribati,AKL,IK,5,https://images.flightradar24.com/assets/airlines/logotypes/482.png,2024-02-09 12:15:35.340320
113,Air Koryo,KOR,JS,10,https://www.flightradar24.com/static/images/data/operators/KOR_logo0.png,2024-02-09 12:15:35.340320
114,Air Liaison,LSJ,DU,14,https://images.flightradar24.com/assets/airlines/logotypes/1538.png,2024-02-09 12:15:35.340320
115,Air Libya,TLR,7I,6,https://www.flightradar24.com/static/images/data/operators/TLR_logo0.png,2024-02-09 12:15:35.340320
116,Air Loyaute,RLY,,4,placeholder,2024-02-09 12:15:35.340320
117,Air Macau,AMU,NX,22,https://www.flightradar24.com/static/images/data/operators/AMU_logo0.png,2024-02-09 12:15:35.340320
118,Air Madagascar,MDG,MD,3,https://images.flightradar24.com/assets/airlines/logotypes/97.png,2024-02-09 12:15:35.340320
119,Air Malta,AMC,KM,8,https://images.flightradar24.com/assets/airlines/logotypes/117.png,2024-02-09 12:15:35.340320
120,Air Manas,MBB,ZM,1,https://images.flightradar24.com/assets/airlines/logotypes/480.png,2024-02-09 12:15:35.340320
121,Air Mauritius,MAU,MK,12,https://images.flightradar24.com/assets/airlines/logotypes/386.png,2024-02-09 12:15:35.340320
122,Air Mediterranean,MAR,MV,2,https://images.flightradar24.com/assets/airlines/logotypes/106.png,2024-02-09 12:15:35.340320
123,Air Methods,LIF,,21,placeholder,2024-02-09 12:15:35.340320
124,Air Moana,NTR,NM,2,https://images.flightradar24.com/assets/airlines/logotypes/2220.png,2024-02-09 12:15:35.340320
125,Air Montenegro,MNE,4O,3,https://images.flightradar24.com/assets/airlines/logotypes/1912.png,2024-02-09 12:15:35.340320
126,Air Mountain,AMT,,1,placeholder,2024-02-09 12:15:35.340320
127,Air New Zealand,ANZ,NZ,108,https://images.flightradar24.com/assets/airlines/logotypes/95.png,2024-02-09 12:15:35.340320
128,Air Niugini,ANG,PX,27,https://images.flightradar24.com/assets/airlines/logotypes/233.png,2024-02-09 12:15:35.340320
129,Air North,ANT,4N,10,https://www.flightradar24.com/static/images/data/operators/ANT_logo0.png,2024-02-09 12:15:35.340320
130,Air Nunavut,BFF,,14,https://images.flightradar24.com/assets/airlines/logotypes/1456.png,2024-02-09 12:15:35.340320
131,Air Ocean Maroc,AOM,,6,placeholder,2024-02-09 12:15:35.340320
132,Air Panama,PST,7P,5,https://www.flightradar24.com/static/images/data/operators/PST_logo0.png,2024-02-09 12:15:35.340320
133,Air Peace,APK,P4,22,https://images.flightradar24.com/assets/airlines/logotypes/1469.png,2024-02-09 12:15:35.340320
134,Air Premia,APZ,YP,5,https://images.flightradar24.com/assets/airlines/logotypes/1588.png,2024-02-09 12:15:35.340320
135,Air Rarotonga,RAR,GZ,4,placeholder,2024-02-09 12:15:35.340320
136,Air Safaris,SRI,,6,placeholder,2024-02-09 12:15:35.340320
137,Air Saint-Pierre,SPM,PJ,1,https://www.flightradar24.com/static/images/data/operators/SPM_logo0.png,2024-02-09 12:15:35.340320
138,Air Samarkand,UZS,9S,1,placeholder,2024-02-09 12:15:35.340320
139,Air Senegal,SZN,HC,9,https://images.flightradar24.com/assets/airlines/logotypes/606.png,2024-02-09 12:15:35.340320
140,Air Seoul,ASV,RS,6,https://images.flightradar24.com/assets/airlines/logotypes/537.png,2024-02-09 12:15:35.340320
141,Air Seychelles,SEY,HM,7,https://images.flightradar24.com/assets/airlines/logotypes/180.png,2024-02-09 12:15:35.340320
142,Air Spray,ASB,,46,placeholder,2024-02-09 12:15:35.340320
143,Air Sunshine,RSI,,8,placeholder,2024-02-09 12:15:35.340320
144,Air Tahiti,VTA,VT,12,https://images.flightradar24.com/assets/airlines/logotypes/279.png,2024-02-09 12:15:35.340320
145,Air Tahiti Nui,THT,TN,4,https://images.flightradar24.com/assets/airlines/logotypes/198.png,2024-02-09 12:15:35.340320
146,Air Tanzania,ATC,TC,15,https://www.flightradar24.com/static/images/data/operators/ATC_logo0.png,2024-02-09 12:15:35.340320
