,name,iata,oaci,fleet_size,img_ext,timestamp
255,Argentina - Air Force,FAG,,60,placeholder,2024-02-09 12:15:35.340320
256,Ariana Afghan Airlines,AFG,FG,5,https://www.flightradar24.com/static/images/data/operators/AFG_logo0.png,2024-02-09 12:15:35.340320
257,Arik Air,ARA,W3,8,https://www.flightradar24.com/static/images/data/operators/ARA_logo0.png,2024-02-09 12:15:35.340320
258,Arkhangelsk Airlines,OAO,,4,placeholder,2024-02-09 12:15:35.340320
259,Arkia Israeli Airlines,AIZ,IZ,5,https://images.flightradar24.com/assets/airlines/logotypes/259.png,2024-02-09 12:15:35.340320
260,Armenia Airways,AMW,6A,3,https://images.flightradar24.com/assets/airlines/logotypes/1570.png,2024-02-09 12:15:35.340320
261,Armenian Airlines,AAG,JI,2,https://images.flightradar24.com/assets/airlines/logotypes/2221.png,2024-02-09 12:15:35.340320
262,Aruba Airlines,ARU,AG,3,https://images.flightradar24.com/assets/airlines/logotypes/486.png,2024-02-09 12:15:35.340320
263,Ascend Airways,SYG,,9,placeholder,2024-02-09 12:15:35.340320
264,ASG Business Aviation,ESW,,8,https://images.flightradar24.com/assets/airlines/logotypes/1975.png,2024-02-09 12:15:35.340320
265,Asia Cargo Airlines,TMG,GM,4,placeholder,2024-02-09 12:15:35.340320
266,Asia Pacific Airlines,MGE,P9,5,https://images.flightradar24.com/assets/airlines/logotypes/489.png,2024-02-09 12:15:35.340320
267,Asia Union Airlines,AUV,,1,placeholder,2024-02-09 12:15:35.340320
268,Asian Express General Aviation Wuxi,WUA,,4,placeholder,2024-02-09 12:15:35.340320
269,Asiana Airlines,AAR,OZ,83,https://images.flightradar24.com/assets/airlines/logotypes/90.png,2024-02-09 12:15:35.340320
270,Asky Airlines,SKK,KP,17,https://images.flightradar24.com/assets/airlines/logotypes/944.png,2024-02-09 12:15:35.340320
271,ASL Airlines,ABR,,63,https://images.flightradar24.com/assets/airlines/logotypes/440.png,2024-02-09 12:15:35.340320
272,Asta Linhas Aereas,SUL,0A,3,placeholder,2024-02-09 12:15:35.340320
273,Astonjet,ASJ,,9,https://images.flightradar24.com/assets/airlines/logotypes/1569.png,2024-02-09 12:15:35.340320
274,Astral Aviation,ACP,8V,5,https://images.flightradar24.com/assets/airlines/logotypes/598.png,2024-02-09 12:15:35.340320
275,ATA Airlines,TBZ,I3,18,https://images.flightradar24.com/assets/airlines/logotypes/1096.png,2024-02-09 12:15:35.340320
276,ATI Jet,CYO,,15,placeholder,2024-02-09 12:15:35.340320
277,Atlantic Airways,FLI,RC,6,https://images.flightradar24.com/assets/airlines/logotypes/111.png,2024-02-09 12:15:35.340320
278,Atlas Air,GTI,5Y,61,https://images.flightradar24.com/assets/airlines/logotypes/517.png,2024-02-09 12:15:35.340320
279,Atlas Air Service,ATL,,12,https://images.flightradar24.com/assets/airlines/logotypes/1734.png,2024-02-09 12:15:35.340320
280,ATR,EVX,,72,placeholder,2024-02-09 12:15:35.340320
281,Atran,VAS,V8,3,https://www.flightradar24.com/static/images/data/operators/VAS_logo0.png,2024-02-09 12:15:35.340320
282,Auckland Rescue Helicopter,WPR,,4,placeholder,2024-02-09 12:15:35.340320
283,Auric Air,AUK,UI,16,placeholder,2024-02-09 12:15:35.340320
284,Aurigny Air Services,AUR,GR,7,https://images.flightradar24.com/assets/airlines/logotypes/261.png,2024-02-09 12:15:35.340320
285,Aurora,SHU,HZ,18,https://www.flightradar24.com/static/images/data/operators/SHU_logo0.png,2024-02-09 12:15:35.340320
286,Australia - Customs,CUS,,1,placeholder,2024-02-09 12:15:35.340320
287,Australia - Royal Australian Air Force,ASY,,184,https://www.flightradar24.com/static/images/data/operators/ASY_logo0.png,2024-02-09 12:15:35.340320
288,Austria - Air Force,ASF,,5,placeholder,2024-02-09 12:15:35.340320
289,Austrian Airlines,AUA,OS,66,https://images.flightradar24.com/assets/airlines/logotypes/50.png,2024-02-09 12:15:35.340320
290,Av8Jet,AJO,,2,placeholder,2024-02-09 12:15:35.340320
291,Avalair Aircraft Management,ARR,,3,https://www.flightradar24.com/static/images/data/operators/ARR_logo0.png,2024-02-09 12:15:35.340320
292,Avanti Air,ATV,,2,https://images.flightradar24.com/assets/airlines/logotypes/956.png,2024-02-09 12:15:35.340320
293,Avcenter,TTE,,5,placeholder,2024-02-09 12:15:35.340320
294,Avcon Jet,AOJ,,5,https://images.flightradar24.com/assets/airlines/logotypes/1415.png,2024-02-09 12:15:35.340320
295,Avcon Jet Malta,VCJ,,1,https://images.flightradar24.com/assets/airlines/logotypes/1739.png,2024-02-09 12:15:35.340320
296,Avelo Airlines,VXP,XP,16,https://images.flightradar24.com/assets/airlines/logotypes/1318.png,2024-02-09 12:15:35.340320
297,Avia Traffic,AVJ,YK,6,https://www.flightradar24.com/static/images/data/operators/AVJ_logo0.png,2024-02-09 12:15:35.340320
298,Aviacon Zitotrans,AZS,ZR,4,https://www.flightradar24.com/static/images/data/operators/AZS_logo0.png,2024-02-09 12:15:35.340320
299,Avianca,AVA,AV,152,https://images.flightradar24.com/assets/airlines/logotypes/83.png,2024-02-09 12:15:35.340320
300,Avianca Cargo,TPA,QT,6,https://images.flightradar24.com/assets/airlines/logotypes/860.png,2024-02-09 12:15:35.340320
301,Aviastar,VIT,,1,placeholder,2024-02-09 12:15:35.340320
302,Aviastar-TU,TUP,4B,8,https://images.flightradar24.com/assets/airlines/logotypes/612.png,2024-02-09 12:15:35.340320
303,Aviation Advisor,LKF,,15,https://images.flightradar24.com/assets/airlines/logotypes/1882.png,2024-02-09 12:15:35.340320
304,Aviation Horizons,HZS,ZS,6,placeholder,2024-02-09 12:15:35.340320
305,Aviator College,WCP,,43,placeholder,2024-02-09 12:15:35.340320
306,Avincis,INR,,105,https://images.flightradar24.com/assets/airlines/logotypes/1417.png,2024-02-09 12:15:35.340320
307,Avion Express,NVD,X9,34,https://images.flightradar24.com/assets/airlines/logotypes/640.png,2024-02-09 12:15:35.340320
308,Avionord,VND,,7,placeholder,2024-02-09 12:15:35.340320
309,Avior Airlines,ROI,9V,5,https://images.flightradar24.com/assets/airlines/logotypes/313.png,2024-02-09 12:15:35.340320
310,Aviostart,VSR,,3,placeholder,2024-02-09 12:15:35.340320
311,AWA,WEY,,21,placeholder,2024-02-09 12:15:35.340320
312,Awesome Cargo,WIN,A7,2,placeholder,2024-02-09 12:15:35.340320
313,AXIS Aviation,BQA,,3,placeholder,2024-02-09 12:15:35.340320
314,Azerbaijan Airlines,AHY,J2,36,https://images.flightradar24.com/assets/airlines/logotypes/136.png,2024-02-09 12:15:35.340320
315,Azimuth,AZO,A4,20,https://images.flightradar24.com/assets/airlines/logotypes/589.png,2024-02-09 12:15:35.340320
316,Azman Air,AZM,ZU,7,https://images.flightradar24.com/assets/airlines/logotypes/1544.png,2024-02-09 12:15:35.340320
317,Azores Airlines,RZO,S4,9,https://images.flightradar24.com/assets/airlines/logotypes/284.png,2024-02-09 12:15:35.340320
318,Aztec Airways,AZY,AJ,12,https://images.flightradar24.com/assets/airlines/logotypes/251.png,2024-02-09 12:15:35.340320
319,Azul Linhas Aereas,AZU,AD,197,https://www.flightradar24.com/static/images/data/operators/AZU_logo0.png,2024-02-09 12:15:35.340320
320,Azur Air,AZV,ZF,22,https://images.flightradar24.com/assets/airlines/logotypes/1256.png,2024-02-09 12:15:35.340320
321,Babcock,RHD,,47,https://images.flightradar24.com/assets/airlines/logotypes/444.png,2024-02-09 12:15:35.340320
322,Baden Aircraft Operations,BAO,,2,placeholder,2024-02-09 12:15:35.340320
323,Badr Airlines,BDR,J4,7,https://images.flightradar24.com/assets/airlines/logotypes/1100.png,2024-02-09 12:15:35.340320
324,BAe Systems,BAE,,5,placeholder,2024-02-09 12:15:35.340320
325,BAe Systems Marine,VSB,,5,placeholder,2024-02-09 12:15:35.340320
326,Bahamasair,BHS,UP,10,https://www.flightradar24.com/static/images/data/operators/BHS_logo0.png,2024-02-09 12:15:35.340320
327,Bairline,BRJ,,2,https://www.flightradar24.com/static/images/data/operators/BRJ_logo0.png,2024-02-09 12:15:35.340320
328,Baker Aviation,KOW,,9,https://images.flightradar24.com/assets/airlines/logotypes/2231.png,2024-02-09 12:15:35.340320
329,Bamboo Airways,BAV,QH,11,https://images.flightradar24.com/assets/airlines/logotypes/864.png,2024-02-09 12:15:35.340320
330,Bangkok Airways,BKP,PG,26,https://images.flightradar24.com/assets/airlines/logotypes/102.png,2024-02-09 12:15:35.340320
331,BankAir,BKA,,6,placeholder,2024-02-09 12:15:35.340320
332,Bar XH Air,BXH,,2,placeholder,2024-02-09 12:15:35.340320
333,Bassaka Air,BSX,5B,2,https://images.flightradar24.com/assets/airlines/logotypes/450.png,2024-02-09 12:15:35.340320
334,Batik Air,BTK,ID,101,https://www.flightradar24.com/static/images/data/operators/BTK_logo0.png,2024-02-09 12:15:35.340320
335,Batik Air Malaysia,MXD,OD,1,https://images.flightradar24.com/assets/airlines/logotypes/1001.png,2024-02-09 12:15:35.340320
336,BBN Airlines,BBT,B5,5,https://www.flightradar24.com/static/images/data/operators/BBT_logo0.png,2024-02-09 12:15:35.340320
337,BBN Airlines Indonesia,BBL,7B,2,placeholder,2024-02-09 12:15:35.340320
338,Beijing Airlines,BJN,,7,placeholder,2024-02-09 12:15:35.340320
339,Bel Air Aviation,BBX,,5,placeholder,2024-02-09 12:15:35.340320
340,Belavia,BRU,B2,13,https://images.flightradar24.com/assets/airlines/logotypes/208.png,2024-02-09 12:15:35.340320
341,Belgium - Air Force,BAF,,30,https://www.flightradar24.com/static/images/data/operators/BAF_logo0.png,2024-02-09 12:15:35.340320
342,Belgium - Navy,NYB,,3,placeholder,2024-02-09 12:15:35.340320
343,Bemidji Airlines,BMJ,CH,43,https://images.flightradar24.com/assets/airlines/logotypes/1169.png,2024-02-09 12:15:35.340320
344,Beond,BYD,B4,1,https://images.flightradar24.com/assets/airlines/logotypes/2470.png,2024-02-09 12:15:35.340320
345,Bering Air,BRG,8E,36,https://images.flightradar24.com/assets/airlines/logotypes/1248.png,2024-02-09 12:15:35.340320
346,Berjaya Air,BVT,J8,3,placeholder,2024-02-09 12:15:35.340320
347,BermudAir,BMA,2T,2,https://images.flightradar24.com/assets/airlines/logotypes/2436.png,2024-02-09 12:15:35.340320
348,Berniq Airways,BNL,NB,6,https://images.flightradar24.com/assets/airlines/logotypes/1593.png,2024-02-09 12:15:35.340320
349,Berry Aviation,BYA,,20,https://images.flightradar24.com/assets/airlines/logotypes/1370.png,2024-02-09 12:15:35.340320
350,Bestfly Aruba,BFY,,8,https://images.flightradar24.com/assets/airlines/logotypes/374.png,2024-02-09 12:15:35.340320
351,Bestfly Cabo Verde,BCV,3B,1,https://images.flightradar24.com/assets/airlines/logotypes/367.png,2024-02-09 12:15:35.340320
352,BH Air,BGH,8H,3,https://www.flightradar24.com/static/images/data/operators/BGH_logo0.png,2024-02-09 12:15:35.340320
353,Bhutan Airlines,BTN,B3,2,https://images.flightradar24.com/assets/airlines/logotypes/100.png,2024-02-09 12:15:35.340320
354,Big Bend Community College,BGB,,34,placeholder,2024-02-09 12:15:35.340320
355,Bighorn Airways,BHR,,22,placeholder,2024-02-09 12:15:35.340320
356,Biman Bangladesh Airlines,BBC,BG,21,https://images.flightradar24.com/assets/airlines/logotypes/121.png,2024-02-09 12:15:35.340320
357,BinAir,BID,,4,https://www.flightradar24.com/static/images/data/operators/BID_logo0.png,2024-02-09 12:15:35.340320
358,Binter Canarias,IBB,NT,39,https://images.flightradar24.com/assets/airlines/logotypes/114.png,2024-02-09 12:15:35.340320
359,Bioflight,BIO,,9,https://images.flightradar24.com/assets/airlines/logotypes/1924.png,2024-02-09 12:15:35.340320
360,Blessings Aviation,TJJ,,6,placeholder,2024-02-09 12:15:35.340320
361,Blue Dart Aviation,BDA,BZ,6,https://www.flightradar24.com/static/images/data/operators/BDA_logo0.png,2024-02-09 12:15:35.340320
362,Blue Islands,BCI,SI,5,https://images.flightradar24.com/assets/airlines/logotypes/998.png,2024-02-09 12:15:35.340320
363,Blue Square Aviation,BSG,,2,placeholder,2024-02-09 12:15:35.340320
364,Bluebird Airways,BBG,BZ,3,https://www.flightradar24.com/static/images/data/operators/BBG_logo0.png,2024-02-09 12:15:35.340320
365,Bluebird Aviation,BBZ,,7,placeholder,2024-02-09 12:15:35.340320
366,Bluebird Nordic,BBD,BO,11,https://images.flightradar24.com/assets/airlines/logotypes/455.png,2024-02-09 12:15:35.340320
367,Boeing,BOE,,334,https://images.flightradar24.com/assets/airlines/logotypes/867.png,2024-02-09 12:15:35.340320
368,Boliviana de Aviacion,BOV,OB,28,https://images.flightradar24.com/assets/airlines/logotypes/1039.png,2024-02-09 12:15:35.340320
369,Bombardier,BBA,,69,placeholder,2024-02-09 12:15:35.340320
370,Bonza,BNZ,AB,6,https://images.flightradar24.com/assets/airlines/logotypes/2124.png,2024-02-09 12:15:35.340320
371,Bookajet,BOO,,4,placeholder,2024-02-09 12:15:35.340320
372,Boutique Air,BTQ,4B,24,https://images.flightradar24.com/assets/airlines/logotypes/1371.png,2024-02-09 12:15:35.340320
373,BRA,BRX,TF,20,https://images.flightradar24.com/assets/airlines/logotypes/44.png,2024-02-09 12:15:35.340320
374,Bravo Airways,BAY,,2,https://images.flightradar24.com/assets/airlines/logotypes/473.png,2024-02-09 12:15:35.340320
375,Brazil - Air Force,BRS,,240,https://www.flightradar24.com/static/images/data/operators/BRS_logo0.png,2024-02-09 12:15:35.340320
376,Brazil - Army,EXB,,5,placeholder,2024-02-09 12:15:35.340320
377,Brazil - Navy,MBR,,5,placeholder,2024-02-09 12:15:35.340320
378,Breeze Airways,MXY,MX,37,https://images.flightradar24.com/assets/airlines/logotypes/1602.png,2024-02-09 12:15:35.340320
379,Bridger Aerospace,BGR,,10,placeholder,2024-02-09 12:15:35.340320
380,Brilliant Jet,TXJ,,1,placeholder,2024-02-09 12:15:35.340320
381,Bristow Helicopters,BHL,,107,https://images.flightradar24.com/assets/airlines/logotypes/418.png,2024-02-09 12:15:35.340320
382,Bristow Nigeria,BHN,,2,placeholder,2024-02-09 12:15:35.340320
383,Bristow Norway,NOR,,2,placeholder,2024-02-09 12:15:35.340320
384,British Airways,BAW,BA,288,https://images.flightradar24.com/assets/airlines/logotypes/5.png,2024-02-09 12:15:35.340320
385,British International Helicopters,BRT,,5,placeholder,2024-02-09 12:15:35.340320
386,Bromma Air Maintenance,CFL,,3,placeholder,2024-02-09 12:15:35.340320
387,Brussels Airlines,BEL,SN,44,https://images.flightradar24.com/assets/airlines/logotypes/51.png,2024-02-09 12:15:35.340320
388,Budapest Aircraft Service,BPS,RP,3,placeholder,2024-02-09 12:15:35.340320
389,Buddha Air,BHA,U4,16,https://images.flightradar24.com/assets/airlines/logotypes/1126.png,2024-02-09 12:15:35.340320
390,Buffalo Airways,BFL,J0,52,https://images.flightradar24.com/assets/airlines/logotypes/1162.png,2024-02-09 12:15:35.340320
391,Bul Air,BVL,LB,9,https://images.flightradar24.com/assets/airlines/logotypes/373.png,2024-02-09 12:15:35.340320
392,Bulgaria - Air Force,AFB,,10,placeholder,2024-02-09 12:15:35.340320
393,Bulgaria - Government,BGF,,1,placeholder,2024-02-09 12:15:35.340320
394,Bulgaria Air,LZB,FB,13,https://www.flightradar24.com/static/images/data/operators/LZB_logo0.png,2024-02-09 12:15:35.340320
395,Buraq Air,BRQ,UZ,3,https://www.flightradar24.com/static/images/data/operators/BRQ_logo0.png,2024-02-09 12:15:35.340320
396,Business Aviation Asia,UNA,UN,7,placeholder,2024-02-09 12:15:35.340320
397,Business Wings,JMP,,4,https://images.flightradar24.com/assets/airlines/logotypes/594.png,2024-02-09 12:15:35.340320
398,Buzz,RYS,RR,8,https://images.flightradar24.com/assets/airlines/logotypes/587.png,2024-02-09 12:15:35.340320
399,BySky,BYS,,3,placeholder,2024-02-09 12:15:35.340320
400,CAA,DBP,BU,8,https://images.flightradar24.com/assets/airlines/logotypes/2127.png,2024-02-09 12:15:35.340320
401,Cabo Verde Airlines,TCV,VR,2,https://www.flightradar24.com/static/images/data/operators/TCV_logo0.png,2024-02-09 12:15:35.340320
402,Caicos Express Airways,CXE,9Q,8,https://images.flightradar24.com/assets/airlines/logotypes/1201.png,2024-02-09 12:15:35.340320
403,Calm Air,CAV,MO,6,https://www.flightradar24.com/static/images/data/operators/CAV_logo0.png,2024-02-09 12:15:35.340320
404,Calstar,CMD,,14,https://images.flightradar24.com/assets/airlines/logotypes/508.png,2024-02-09 12:15:35.340320
405,Camair-Co,CRC,QC,2,https://images.flightradar24.com/assets/airlines/logotypes/1113.png,2024-02-09 12:15:35.340320
406,Cambodia Airways,KME,KR,6,https://images.flightradar24.com/assets/airlines/logotypes/863.png,2024-02-09 12:15:35.340320
407,Cambodia Angkor Air,KHV,K6,7,https://www.flightradar24.com/static/images/data/operators/KHV_logo0.png,2024-02-09 12:15:35.340320
408,Camex Airlines,CMS,Z7,3,https://images.flightradar24.com/assets/airlines/logotypes/2095.png,2024-02-09 12:15:35.340320
409,Canada - Coast Guard,CTG,,26,placeholder,2024-02-09 12:15:35.340320
410,Canada - Department of Transport,TGO,,39,placeholder,2024-02-09 12:15:35.340320
411,Canada - Ontario Ministry of Natural Resources,ONT,,25,placeholder,2024-02-09 12:15:35.340320
412,Canada - Royal Canadian Air Force,CFC,,124,https://images.flightradar24.com/assets/airlines/logotypes/2088.png,2024-02-09 12:15:35.340320
413,Canada - Saskatchewan Air Ambulance Service,SLG,,4,placeholder,2024-02-09 12:15:35.340320
414,Canadian Airways Congo,TWC,,1,placeholder,2024-02-09 12:15:35.340320
415,Canadian North,AKT,5T,34,https://images.flightradar24.com/assets/airlines/logotypes/328.png,2024-02-09 12:15:35.340320
416,CanaryFly,CNF,PM,6,https://www.flightradar24.com/static/images/data/operators/CNF_logo0.png,2024-02-09 12:15:35.340320
417,Canavia,CNA,,10,placeholder,2024-02-09 12:15:35.340320
418,Canlink Aviation,MFC,,59,placeholder,2024-02-09 12:15:35.340320
419,CanWest Air,CWA,,10,https://images.flightradar24.com/assets/airlines/logotypes/1558.png,2024-02-09 12:15:35.340320
420,Cape Air,KAP,9K,103,https://images.flightradar24.com/assets/airlines/logotypes/301.png,2024-02-09 12:15:35.340320
421,Capital Air Ambulance,EGL,,4,https://images.flightradar24.com/assets/airlines/logotypes/1454.png,2024-02-09 12:15:35.340320
422,Capital Airlines,CBJ,JD,87,https://www.flightradar24.com/static/images/data/operators/CBJ_logo0.png,2024-02-09 12:15:35.340320
423,Capital City Air Carriers,CCQ,,3,placeholder,2024-02-09 12:15:35.340320
424,Cardig Air,CAD,,1,https://www.flightradar24.com/static/images/data/operators/CAD_logo0.png,2024-02-09 12:15:35.340320
425,CareFlight,CFH,,16,placeholder,2024-02-09 12:15:35.340320
426,Cargo Air,CGF,,11,https://images.flightradar24.com/assets/airlines/logotypes/236.png,2024-02-09 12:15:35.340320
427,Cargojet Airways,CJT,W8,37,https://www.flightradar24.com/static/images/data/operators/CJT_logo0.png,2024-02-09 12:15:35.340320
428,Cargolux,CLX,CV,30,https://www.flightradar24.com/static/images/data/operators/CLX_logo0.png,2024-02-09 12:15:35.340320
429,Caribbean Airlines,BWA,BW,19,https://images.flightradar24.com/assets/airlines/logotypes/215.png,2024-02-09 12:15:35.340320
430,Carpatair,KRP,V3,2,https://www.flightradar24.com/static/images/data/operators/KRP_logo0.png,2024-02-09 12:15:35.340320
431,Carson Air,CRN,,20,https://images.flightradar24.com/assets/airlines/logotypes/1114.png,2024-02-09 12:15:35.340320
432,Caspian Airlines,CPN,RV,10,https://images.flightradar24.com/assets/airlines/logotypes/150.png,2024-02-09 12:15:35.340320
433,Castle Aviation,CSJ,,20,https://images.flightradar24.com/assets/airlines/logotypes/1406.png,2024-02-09 12:15:35.340320
434,Cathay Pacific,CPA,CX,178,https://images.flightradar24.com/assets/airlines/logotypes/57.png,2024-02-09 12:15:35.340320
435,Catreus,VCG,,6,placeholder,2024-02-09 12:15:35.340320
436,Cavok Air,CVK,,7,https://images.flightradar24.com/assets/airlines/logotypes/1436.png,2024-02-09 12:15:35.340320
437,Cayman Airways,CAY,KX,7,https://www.flightradar24.com/static/images/data/operators/CAY_logo0.png,2024-02-09 12:15:35.340320
438,CB SkyShare,CBC,,7,placeholder,2024-02-09 12:15:35.340320
439,Cebu Pacific,CEB,5J,83,https://images.flightradar24.com/assets/airlines/logotypes/99.png,2024-02-09 12:15:35.340320
440,Ceiba Intercontinental,CEL,,3,https://images.flightradar24.com/assets/airlines/logotypes/1156.png,2024-02-09 12:15:35.340320
441,CemAir,KEM,5Z,22,https://images.flightradar24.com/assets/airlines/logotypes/993.png,2024-02-09 12:15:35.340320
442,Central Air Southwest,CTL,,27,placeholder,2024-02-09 12:15:35.340320
443,Central Airlines,HLF,I9,12,https://images.flightradar24.com/assets/airlines/logotypes/1642.png,2024-02-09 12:15:35.340320
444,Central Mountain Air,GLR,9M,26,https://www.flightradar24.com/static/images/data/operators/GLR_logo0.png,2024-02-09 12:15:35.340320
445,Centreline,CLF,,12,https://images.flightradar24.com/assets/airlines/logotypes/909.png,2024-02-09 12:15:35.340320
446,Cerium Air,CAQ,,1,placeholder,2024-02-09 12:15:35.340320
447,Chabahar Airlines,IRU,,7,placeholder,2024-02-09 12:15:35.340320
448,Chair Airlines,GSW,GM,4,https://images.flightradar24.com/assets/airlines/logotypes/826.png,2024-02-09 12:15:35.340320
449,Chalair Aviation,CLG,CE,11,https://images.flightradar24.com/assets/airlines/logotypes/201.png,2024-02-09 12:15:35.340320
450,Challenge Airlines BE,CHG,X7,8,https://images.flightradar24.com/assets/airlines/logotypes/398.png,2024-02-09 12:15:35.340320
451,Cham Wings Airlines,SAW,,3,https://images.flightradar24.com/assets/airlines/logotypes/1063.png,2024-02-09 12:15:35.340320
452,Charter Jets,LTC,,4,https://images.flightradar24.com/assets/airlines/logotypes/1463.png,2024-02-09 12:15:35.340320
453,Chartright Air,HRT,,21,https://images.flightradar24.com/assets/airlines/logotypes/363.png,2024-02-09 12:15:35.340320
454,CHC Helicopter,HMB,,91,https://images.flightradar24.com/assets/airlines/logotypes/1821.png,2024-02-09 12:15:35.340320
455,Chengdu Airlines,UEA,EU,79,https://www.flightradar24.com/static/images/data/operators/UEA_logo0.png,2024-02-09 12:15:35.340320
456,China - Air Force,CKJ,,19,placeholder,2024-02-09 12:15:35.340320
457,China - Civil Aviation Administration,CFI,,19,placeholder,2024-02-09 12:15:35.340320
458,China Airlines,CAL,CI,79,https://images.flightradar24.com/assets/airlines/logotypes/86.png,2024-02-09 12:15:35.340320
459,China Cargo Airlines,CKK,CK,17,https://images.flightradar24.com/assets/airlines/logotypes/745.png,2024-02-09 12:15:35.340320
460,China Eastern Airlines,CES,MU,637,https://images.flightradar24.com/assets/airlines/logotypes/131.png,2024-02-09 12:15:35.340320
461,China Express Airlines,HXA,G5,71,https://images.flightradar24.com/assets/airlines/logotypes/320.png,2024-02-09 12:15:35.340320
462,China Postal Airlines,CYZ,CF,35,https://www.flightradar24.com/static/images/data/operators/CYZ_logo0.png,2024-02-09 12:15:35.340320
463,China Southern Airlines,CSN,CZ,673,https://images.flightradar24.com/assets/airlines/logotypes/74.png,2024-02-09 12:15:35.340320
464,China Southern Cargo,CSG,,6,https://images.flightradar24.com/assets/airlines/logotypes/2079.png,2024-02-09 12:15:35.340320
465,China United Airlines,CUA,KN,56,https://www.flightradar24.com/static/images/data/operators/CUA_logo0.png,2024-02-09 12:15:35.340320
466,Chodang University,CDQ,,13,placeholder,2024-02-09 12:15:35.340320
467,Chongqing Airlines,CQN,OQ,33,https://www.flightradar24.com/static/images/data/operators/CQN_logo0.png,2024-02-09 12:15:35.340320
468,Chrono Aviation,NDL,MB,10,https://images.flightradar24.com/assets/airlines/logotypes/1409.png,2024-02-09 12:15:35.340320
469,Chrono Jet,MBK,MB,6,https://images.flightradar24.com/assets/airlines/logotypes/1423.png,2024-02-09 12:15:35.340320
470,CITIC Offshore Helicopter,CHC,,21,https://images.flightradar24.com/assets/airlines/logotypes/1824.png,2024-02-09 12:15:35.340320
471,Citilink,CTV,QG,60,https://www.flightradar24.com/static/images/data/operators/CTV_logo0.png,2024-02-09 12:15:35.340320
472,Cityjet,BCY,WX,11,https://www.flightradar24.com/static/images/data/operators/BCY_logo0.png,2024-02-09 12:15:35.340320
473,Civil Air Patrol,CAP,,619,https://images.flightradar24.com/assets/airlines/logotypes/272.png,2024-02-09 12:15:35.340320
474,Clic,EFY,VE,20,https://images.flightradar24.com/assets/airlines/logotypes/1131.png,2024-02-09 12:15:35.340320
475,Clipper Jet,ORO,,4,placeholder,2024-02-09 12:15:35.340320
476,CMA CGM AirCargo,CMA,2C,5,placeholder,2024-02-09 12:15:35.340320
477,Coastal Aviation,CSV,CQ,9,https://images.flightradar24.com/assets/airlines/logotypes/1307.png,2024-02-09 12:15:35.340320
478,Colombia - Air Force,FAC,,151,placeholder,2024-02-09 12:15:35.340320
479,Colorful Guizhou Airlines,CGZ,GY,18,https://images.flightradar24.com/assets/airlines/logotypes/521.png,2024-02-09 12:15:35.340320
480,Comlux,CLA,,9,https://images.flightradar24.com/assets/airlines/logotypes/693.png,2024-02-09 12:15:35.340320
481,Comlux Kazakhstan,KAZ,,1,https://images.flightradar24.com/assets/airlines/logotypes/667.png,2024-02-09 12:15:35.340320
482,CommuteAir,UCA,C5,1,https://images.flightradar24.com/assets/airlines/logotypes/1234.png,2024-02-09 12:15:35.340320
483,Compagnia Aeronautica Italiana,CPI,,1,placeholder,2024-02-09 12:15:35.340320
484,Compass Cargo Airlines,ADZ,HQ,5,https://images.flightradar24.com/assets/airlines/logotypes/1827.png,2024-02-09 12:15:35.340320
485,Conair,FGD,,72,https://images.flightradar24.com/assets/airlines/logotypes/569.png,2024-02-09 12:15:35.340320
486,Condor,CFG,DE,53,https://images.flightradar24.com/assets/airlines/logotypes/69.png,2024-02-09 12:15:35.340320
487,Congo Airways,CGA,8Z,3,placeholder,2024-02-09 12:15:35.340320
488,Conquest Air,QAI,C4,2,https://images.flightradar24.com/assets/airlines/logotypes/1009.png,2024-02-09 12:15:35.340320
489,Constanta Airline,UZA,,2,placeholder,2024-02-09 12:15:35.340320
490,Contour Aviation,VTE,LF,29,https://images.flightradar24.com/assets/airlines/logotypes/561.png,2024-02-09 12:15:35.340320
491,Conviasa,VCV,V0,23,https://www.flightradar24.com/static/images/data/operators/VCV_logo0.png,2024-02-09 12:15:35.340320
492,Copa Airlines,CMP,CM,97,https://images.flightradar24.com/assets/airlines/logotypes/188.png,2024-02-09 12:15:35.340320
493,Copenhagen Airtaxi,CAT,,3,https://images.flightradar24.com/assets/airlines/logotypes/1452.png,2024-02-09 12:15:35.340320
494,Corendon Airlines,CAI,XC,35,https://images.flightradar24.com/assets/airlines/logotypes/810.png,2024-02-09 12:15:35.340320
495,Corendon Dutch Airlines,CND,CD,4,https://images.flightradar24.com/assets/airlines/logotypes/804.png,2024-02-09 12:15:35.340320
496,Corporate Air,MLN,,3,placeholder,2024-02-09 12:15:35.340320
497,Corsair,CRL,SS,9,https://www.flightradar24.com/static/images/data/operators/CRL_logo0.png,2024-02-09 12:15:35.340320
498,Costa Rica - Ministry of Public Security,MSP,,11,placeholder,2024-02-09 12:15:35.340320
499,Costa Rica Green Airways,CRG,GW,4,placeholder,2024-02-09 12:15:35.340320
500,Coulson Aviation,CUL,,11,placeholder,2024-02-09 12:15:35.340320
501,Croatia - Air Force,HRZ,,17,placeholder,2024-02-09 12:15:35.340320
502,Croatia Airlines,CTN,OU,13,https://images.flightradar24.com/assets/airlines/logotypes/77.png,2024-02-09 12:15:35.340320
503,Cronos Airlines,CRA,C8,7,placeholder,2024-02-09 12:15:35.340320
