SCHOOL NAME,NUM STUDENTS
Fort Hamilton High School,1130
Foundations Academy,416
Frances Perkins Academy,233
Francis Lewis High School,1092
Franklin Delano Roosevelt High School,916
Franklin K. Lane High School,297
Frederick Douglass Academy,907
Frederick Douglass Academy II Secondary School,799
Frederick Douglass Academy III Secondary School,1173
Frederick Douglass Academy IV Secondary School,829
Frederick Douglass Academy V. Middle School,420
Frederick Douglass Academy VII High School,740
Frederick Douglass Academy VIII Middle School,337
Freedom Academy High School,537
GLOBAL TECHNOLOGY PREPARATORY,346
GRANT AVENUE ELEMENTARY SCHOOL,82
Gateway School for Environmental Research and Technology,682
General D. Chappie James Elementary School of Science,178
General D. Chappie James Middle School of Science,202
George Westinghouse Career and Technical Education High School,932
Global Enterprise High School,543
Global Neighborhood Secondary School,472
Globe School for Environmental Research,373
Grace Dodge Career and Technical Education High School,693
Gramercy Arts High School,720
Green School: An Academy for Environmental Careers,515
Gregorio Luperon High School for Science and Mathematics,330
Grover Cleveland High School,803
HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,289
Hamilton Heights School,121
Harbor Heights,159
Harlem Renaissance High School,230
Harry S Truman High School,820
Harvey Milk High School,225
Health Opportunities High School,660
Henry Street School for International Studies,921
Herbert H. Lehman High School,1145
"Heritage School, The",484
High School X560 - Bronx Academy High School,331
High School for Arts and Business,766
"High School for Arts, Imagination and Inquiry",480
High School for Civil Rights,702
High School for Contemporary Arts,790
High School for Dual Language and Asian Studies,370
High School for Environmental Studies,720
High School for Excellence and Innovation,166
High School for Health Careers and Sciences,650
High School for Health Professions and Human Services,834
High School for Innovation in Advertising and Media,440
High School for International Business and Finance,416
High School for Law and Public Service,718
"High School for Law, Advocacy and Community Justice",584
"High School for Mathematics, Science and Engineering at City College",346
High School for Media and Communications,582
High School for Medical Professions,815
High School for Public Service: Heroes of Tomorrow,416
High School for Service & Learning at Erasmus,757
High School for Teaching and the Professions,513
High School for Violin and Dance,464
High School for Youth and Community Development at Erasmus,534
High School of American Studies at Lehman College,421
High School of Applied Communication,545
High School of Arts and Technology,558
High School of Computers and Technology,534
High School of Economics and Finance,796
High School of Graphic Communication Arts,761
High School of Hospitality Management,627
High School of Sports Management,730
High School of Telecommunication Arts and Technology,1007
High School of World Cultures,347
Holcombe L. Rucker School of Community Research,588
Hostos-Lincoln Academy of Science,858
Humanities Preparatory Academy,166
I. S. 381,390
I.S. 025 Adrien Block,429
I.S. 061 Leonardo Da Vinci,560
I.S. 068 Isaac Bildersee,573
I.S. 077,523
I.S. 093 Ridgewood,533
I.S. 096 Seth Low,704
I.S. 117 Joseph H. Wade,421
I.S. 119 The Glendale,654
I.S. 125 Thom J. McCann Woodside,658
I.S. 136 Charles O. Dewey,495
I.S. 171 Abraham Lincoln,348
I.S. 181 Pablo Casals,487
I.S. 195 Roberto Clemente,425
I.S. 206 Ann Mersereau,347
I.S. 211 John Wilson,638
I.S. 218 Salome Urena,401
I.S. 219 New Venture School,446
I.S. 228 David A. Boody,590
I.S. 229 Roland Patterson,283
I.S. 232,394
I.S. 237,554
I.S. 250 The Robert F. Kennedy Community Middle School,374
I.S. 254,483
I.S. 281 Joseph B Cavallaro,593
I.S. 285 Meyer Levin,522
I.S. 289,236
I.S. 30 Mary White Ovington,597
I.S. 303 Herbert S. Eisenberg,689
I.S. 313 School of Leadership Development,452
I.S. 318 Eugenio Maria De Hostos,146
I.S. 339,398
I.S. 340,356
I.S. 364 Gateway,266
I.S. 392,235
I.S. 5 - The Walter Crowley Intermediate School,566
I.S. 528 Bea Fuller Rodgers School,272
I.S. 73 - The Frank Sansivieri Intermediate School,577
I.S. 98 Bay Academy,404
I.S. M286 Renaissance Military Leadership Academy,297
I.S. X303 Leadership & Community Service,315
"I.S. X318 Math, Science & Technology Through Arts",485
INNOVATION DIPLOMA PLUS,223
INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,123
In-Tech Academy (M.S. / High School 368),1111
Independence High School,272
Institute for Collaborative Education,69
International Arts Business School,590
International Community High School,226
International High School at LaGuardia Community College,221
International High School at Lafayette,258
International High School at Prospect Heights,309
International School for Liberal Arts,541
Irwin Altman Middle School 172,684
Isaac Newton Middle School for Math & Science,357
It Takes a Village Academy,510
J.H.S. 013 Jackie Robinson,445
J.H.S. 014 Shell Bank,608
J.H.S. 022 Jordan L. Mott,429
J.H.S. 050 John D. Wells,478
J.H.S. 052 Inwood,518
J.H.S. 054 Booker T. Washington,640
J.H.S. 057 Whitelaw Reid,237
J.H.S. 062 Ditmas,599
J.H.S. 067 Louis Pasteur,369
J.H.S. 074 Nathaniel Hawthorne,594
J.H.S. 078 Roy H. Mann,629
J.H.S. 080 The Mosholu Parkway,558
J.H.S. 088 Peter Rouget,559
J.H.S. 098 Herman Ridder,456
J.H.S. 104 Simon Baruch,587
J.H.S. 118 William W. Niles,528
J.H.S. 123 James M. Kieran,187
J.H.S. 125 Henry Hudson,543
J.H.S. 127 The Castle Hill,535
J.H.S. 131 Albert Einstein,509
J.H.S. 143 Eleanor Roosevelt,573
J.H.S. 144 Michelangelo,574
J.H.S. 145 Arturo Toscanini,442
J.H.S. 151 Lou Gehrig,276
J.H.S. 162 Lola Rodriguez De Tio,478
J.H.S. 166 George Gershwin,160
J.H.S. 166 Roberto Clemente,259
J.H.S. 167 Robert F. Wagner,446
J.H.S. 185 Edward Bleeker,489
J.H.S. 189 Daniel Carter Beard,591
J.H.S. 194 William Carr,546
J.H.S. 201 The Dyker Heights,658
J.H.S. 202 Robert H. Goddard,594
J.H.S. 210 Elizabeth Blackwell,702
J.H.S. 216 George J. Ryan,549
J.H.S. 218 James P. Sinnott,835
J.H.S. 220 John J. Pershing,521
J.H.S. 223 The Montauk,467
J.H.S. 226 Virgil I. Grissom,447
J.H.S. 227 Edward B. Shallow,575
J.H.S. 234 Arthur W. Cunningham,691
J.H.S. 259 William Mckinley,578
J.H.S. 278 Marine Park,684
J.H.S. 292 Margaret S. Douglas,605
J.H.S. 302 Rafael Cordero,401
J.H.S. M044 William J. O'Shea,280
Jacqueline Kennedy Onassis High School,664
"James Baldwin School, The: A School for Expeditionary Learning",456
James Madison High School,945
James Weldon Johnson,717
Jane Addams High School for Academic Careers,557
Jill Chaifetz Transfer High School,309
John Bowne High School,1167
John Dewey High School,1018
John Ericsson Middle School 126,539
John F. Kennedy High School,797
Jonas Bronck Academy,415
Jonathan Levin High School for Media and Communications,401
Juan Morel Campos Secondary School,970
KAPPA IV,376
Kappa,305
Kappa II,55
Kappa III,627
Kappa V,402
Khalil Gibran International Academy,154
Kingsborough Early College School,702
Kingsbridge International High School,414
Knowledge and Power Preparatory Academy International High School (Kappa),476
Knowledge and Power Preparatory Academy VII Middle School,344
Kurt Hahn Expeditionary Learning School,699
Landmark High School,744
Leadership Institute,570
Leadership and Public Service High School,713
Learners and Leaders,171
Legacy School for Integrated Studies,613
Leon M. Goldstein High School for the Sciences,842
Liberation Diploma Plus,107
Liberty High School Academy for Newcomers,241
Life Academy High School for Film and Music,561
Life Sciences Secondary School,939
Louis D. Brandeis High School,475
Lower East Side Preparatory High School,388
Lower Manhattan Arts Academy,577
Lower Manhattan Community Middle School,147
Lyons Community School,1000
M.S. 002,607
M.S. 035 Stephen Decatur,124
M.S. 053 Brian Piccolo,410
M.S. 061 Dr. Gladstone H. Atwell,623
M.S. 113 Ronald Edmonds Learning Center,253
M.S. 131,499
M.S. 137 America's School of Heroes,678
M.S. 158 Marie Curie,797
M.S. 180 Dr. Daniel Hale Williams,387
M.S. 203,495
M.S. 223 The Laboratory School of Finance and Technology,508
M.S. 224 Manhattan East School for Arts & Academics,221
M.S. 243 Center School,385
M.S. 246 Walt Whitman,525
M.S. 250 West Side Collaborative Middle School,186
M.S. 255 Salk School of Science,425
M.S. 256 Academic & Athletic Excellence,229
M.S. 260 Clinton School Writers & Artists,418
"M.S. 267 Math, Science & Technology",124
M.S. 301 Paul L. Dunbar,522
M.S. 302 Luisa Dessus Cruz,481
M.S. 319 - Maria Teresa,473
M.S. 321 - Minerva,122
M.S. 324 - Patria Mirabal,308
M.S. 326 - Writers Today & Leaders Tomorrow,367
M.S. 328 - Manhattan Middle School for Scientific Inquiry,457
M.S. 390,456
M.S. 399,260
M.S. 45/S.T.A.R.S. Prep Academy,400
